track_id,track_name,artist_name,album_name,genre,release_year,language,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,play_count,user_id,user_rating,mood
TRK0151,Ocean Memories,Indigo Pulse,Indigo Diaries,,2013,English,0.43594921391520064,0.9280126933158811,-5.081624812735736,0.05072582368742018,0.04253584874401047,0.0009303192120989276,0.21294225289663646,0.7559709051706432,122.35925035093342,240529,44,27,U063,4,Party
TRK0094,Golden Waves,Solar Stories,Solar Stories,,2016,Korean,0.7817281580492258,0.7654144600780781,-6.432486735577432,0.11416658871886522,0.0,0.2208755386185139,0.05284005728006923,0.932763346965809,105.48243534586436,210231,100,45,U071,3,Energetic
TRK0213,Paper City,Nova Heaven,Nova Frequency,Country,2025,English,0.5965528649116472,0.594694026206655,-8.940629584296916,0.0,0.3131055659732205,0.013109108403801084,0.18690165117217006,0.8844966869126745,111.88603257009572,267414,100,52,U129,4,Romantic
TRK0292,Hidden Shadows,Neon District,Neon Frequency,K-Pop,2015,Korean,0.6749792624860942,0.806929720281435,-6.297646873759345,0.009947782153876247,,0.02119110162486314,0.2686839999080875,0.9454101628353441,108.29886720306446,140464,99,43,U015,3,Energetic
TRK0087,Ocean Roads,Electric Lines,Electric Frequency,Classical,2026,Hindi,0.37609373235629845,0.424635103653962,-14.558685256196826,0.1303173124750188,0.8285928158560564,0.8999731822678968,0.10196155309181137,0.3674124555756131,82.64425593849256,,100,75,U045,5,Sad
TRK0112,Golden Memories,Nova Heaven,Nova Sessions,Country,,English,,0.516946141836524,-8.080608302089118,0.07872383685826505,0.5738480877595257,0.0,0.1541481790819103,0.7841213937324781,111.51347269905312,195637,99,53,U148,4,Happy
TRK0210,Afterglow Stories,Urban Parade,Urban Nights,,2013,English,0.6915900994639217,0.866148677022207,-4.122841608758671,0.07209309265966336,0.08245992989422063,0.0,0.19742044040519502,0.8068276995096823,117.12153195816751,270078,73,31,U072,,Motivational
TRK0346,Velvet Paradise,Wild Stories,Wild Frequency,Jazz,2021,English,0.538614690099219,0.44219665596070884,-10.328131643942045,,0.41612430204314627,0.17703231299541325,,0.5710336350251407,114.98031185899859,216751,100,46,U023,3,Energetic
TRK0104,Falling Stories,Aurora Heights,Aurora Diaries,Jazz,2016,English,0.44681225060572427,0.30428766529040635,-9.884882585313319,0.0590404325813865,0.7209461351677944,0.19832315400306622,0.2442543225096861,0.37229571320268035,102.16710425629466,233711,36,31,U036,5,
TRK0326,Paper Hearts,Static Motion,Static Diaries,Classical,2019,Japanese,0.2621240544677043,0.09138904589495592,-14.632310935002181,,0.6503885166733496,0.9284406801412872,0.13529452629741207,0.3552812908878518,74.80240887960493,239721,94,27,U126,3,Calm
TRK0074,Afterglow Shadows,Urban Lines,Urban Frequency,Rock,2010,Spanish,0.4313805869300953,0.8456655505852365,-6.245879396177607,0.02072463708174836,0.031098887757320726,0.0,0.12843432599387403,0.9348239309699162,130.765071828263,267909,70,56,U069,4,Happy
TRK0334,Midnight Colours,Blue Circuit,Blue Diaries,K-Pop,2014,Korean,0.7213527127283091,0.8145648991765665,-7.6297359296728064,0.040326754288566455,0.12579314220064106,0.12124832176067372,0.061004068172332365,0.9517229382247088,117.9565881033663,238641,100,72,U023,5,
TRK0259,,Indigo Waves,Indigo Collection,Pop,2019,Hindi,0.7840785134252641,0.718821765121364,-7.961764675059078,0.022813375982758365,0.018537762820207096,0.04406700053696589,0.11811309144953548,0.8681763943593139,,219647,100,60,U003,5,Party
TRK0148,Sunday Rain,Velvet Parade,Velvet Frequency,Country,2026,English,0.5067914177191088,,,,0.37756757510057976,0.2027458141229706,0.13949889382832825,0.7236785152210713,121.66519978230573,301756,83,47,U033,4,Romantic
TRK0246,Falling Memories,Indigo Parade,Indigo Frequency,Hip-Hop,2011,English,,0.7206641419830236,-6.8623340480387025,0.18490634654809823,0.007356082669942657,,0.19164667207237612,0.6305913341891172,101.30326122078179,310252,77,26,U147,4,Motivational
TRK0002,Neon Waves,Echo Heaven,Echo Diaries,Pop,2024,Japanese,0.7015137636454739,0.6340947819150138,-5.730666047846122,0.06304617330690392,0.06107584395388762,0.0,0.1572616429887344,0.8629039093926958,120.31328262149312,252870,100,69,U081,5,Romantic
TRK0337,Ocean Paradise,Aurora Harbor,Aurora Sessions,Hip-Hop,2022,Spanish,0.6793932527048435,0.7762462462134004,-7.123713224494114,0.17655209294934998,0.09237072291810616,0.06093325465326305,0.13406256595699206,0.6876423177643098,95.0910098620933,258138,89,46,U053,4,Energetic
TRK0211,Falling Rain,Crimson Garden,Crimson Nights,Pop,2026,Japanese,0.8661799167547305,0.6603957869327228,-6.835223500767991,0.027557803403377476,0.07797595100993898,0.10501874283624439,0.1271274429172309,0.6883525801369106,106.88570395968881,194633,100,70,U078,4,Happy
TRK0172,Broken Lights,,Silver Stories,Rock,,French,0.44355715819357583,0.7730435386390737,-6.981424511673829,0.050324317716936656,0.053709218700253324,0.0,0.24459087287659437,0.7590504137374932,134.04104755976746,189890,85,55,U036,5,Happy
