track_id,track_name,artist_name,album_name,genre,release_year,language,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,play_count,user_id,user_rating,mood
TRK0151,Ocean Memories,Indigo Pulse,Indigo Diaries,,2013.0,English,0.4359492139152006,0.9280126933158812,-5.081624812735736,0.0507258236874201,0.0425358487440104,0.0009303192120989,0.2129422528966364,0.7559709051706432,122.35925035093342,240529.0,44.0,27.0,U063,4.0,Party
TRK0094,Golden Waves,Solar Stories,Solar Stories,,2016.0,Korean,0.7817281580492258,0.7654144600780781,-6.432486735577432,0.1141665887188652,0.0,0.2208755386185139,0.0528400572800692,0.932763346965809,105.48243534586436,210231.0,100.0,45.0,U071,3.0,Energetic
TRK0213,Paper City,Nova Heaven,Nova Frequency,Country,2025.0,English,0.5965528649116472,0.594694026206655,-8.940629584296916,0.0,0.3131055659732205,0.013109108403801,0.18690165117217,0.8844966869126745,111.88603257009572,267414.0,100.0,52.0,U129,4.0,Romantic
TRK0292,Hidden Shadows,Neon District,Neon Frequency,K-Pop,2015.0,Korean,0.6749792624860942,0.806929720281435,-6.297646873759345,0.0099477821538762,0.1507953326819583,0.0211911016248631,0.2686839999080875,0.945410162835344,108.29886720306446,140464.0,99.0,43.0,U015,3.0,Energetic
TRK0087,Ocean Roads,Electric Lines,Electric Frequency,Classical,2026.0,Hindi,0.3760937323562984,0.424635103653962,-14.558685256196826,0.1303173124750188,0.8285928158560564,0.8999731822678968,0.1019615530918113,0.3674124555756131,82.64425593849256,233339.0,100.0,75.0,U045,5.0,Sad
TRK0112,Golden Memories,Nova Heaven,Nova Sessions,Country,,English,0.6444459281259471,0.516946141836524,-8.080608302089118,0.078723836858265,0.5738480877595257,0.0,0.1541481790819103,0.7841213937324781,111.51347269905312,195637.0,99.0,53.0,U148,4.0,Happy
TRK0210,Afterglow Stories,Urban Parade,Urban Nights,,2013.0,English,0.6915900994639217,0.866148677022207,-4.122841608758671,0.0720930926596633,0.0824599298942206,0.0,0.197420440405195,0.8068276995096823,117.12153195816752,270078.0,73.0,31.0,U072,,Motivational
TRK0346,Velvet Paradise,Wild Stories,Wild Frequency,Jazz,2021.0,English,0.538614690099219,0.4421966559607088,-10.328131643942044,0.0647042293334609,0.4161243020431462,0.1770323129954132,0.145396167080501,0.5710336350251407,114.9803118589986,216751.0,100.0,46.0,U023,3.0,Energetic
TRK0104,Falling Stories,Aurora Heights,Aurora Diaries,Jazz,2016.0,English,0.4468122506057242,0.3042876652904063,-9.88488258531332,0.0590404325813865,0.7209461351677944,0.1983231540030662,0.2442543225096861,0.3722957132026803,102.16710425629466,233711.0,36.0,31.0,U036,5.0,
TRK0326,Paper Hearts,Static Motion,Static Diaries,Classical,2019.0,Japanese,0.2621240544677043,0.0913890458949559,-14.63231093500218,0.0647042293334609,0.6503885166733496,0.9284406801412872,0.135294526297412,0.3552812908878518,74.80240887960493,239721.0,94.0,27.0,U126,3.0,Calm
